Country,Branch,Product,Number of Customers,Revenue,Marketing Spend,Operational Cost,Regulatory Compliance Cost,Net Interest Margin %,Non Interest Income,Loan Quality Score,Credit Risk Score,GDP Billion USD,Inflation %,Interest Rate %,Total Cost,Profit,Profit Margin
Saudi Arabia,Branch_6,Credit Card,"7,370.00","939,184.93","525,562.12","1,846,348.09","98,617.11",3.33,"317,018.22",393.15,5.46,"1,418.40",3.93,3.75,"2,470,527.32","-1,214,324.17",-129%
Bahrain,Branch_6,Wealth Management,960.00,"8,095,496.11","924,616.51","1,423,991.63","341,155.87",4.29,"382,403.07",669.58,8.19,304.70,3.40,1.06,"2,689,764.01","5,788,135.17",71%
Kuwait,Branch_10,Home Loan,"5,490.00","7,737,586.11","825,913.72","1,574,829.77","45,710.62",3.33,"334,656.69",306.55,1.33,"1,266.65",4.87,4.67,"2,446,454.11","5,625,788.69",73%
Oman,Branch_10,Wealth Management,"5,291.00","9,159,874.32","844,665.54","188,364.26","279,743.33",2.16,"189,299.76",743.53,3.25,"1,320.74",4.95,4.94,"1,312,773.13","8,036,400.95",88%
UAE,Branch_8,Auto Loan,"5,834.00","8,559,702.82","674,644.06","1,173,874.92","77,473.93",1.98,"316,389.14",600.88,1.82,364.16,4.38,1.99,"1,925,992.91","6,950,099.05",81%
Saudi Arabia,Branch_1,Home Loan,"6,365.00","6,863,438.08","308,057.05","1,645,861.41","101,866.14",5.66,"418,323.77",611.47,5.09,"1,052.94",5.05,3.72,"2,055,784.60","5,225,977.25",76%
UAE,Branch_5,Wealth Management,566.00,"618,095.29","40,451.65","1,725,948.90","199,573.55",1.61,"405,143.80",595.54,8.69,"1,112.76",5.76,2.40,"1,965,974.10","-942,735.01",-153%
Oman,Branch_8,Home Loan,"4,526.00","7,850,201.32","935,976.85","76,690.78","54,908.54",1.97,"41,447.71",594.44,6.13,913.27,5.37,0.62,"1,067,576.17","6,824,072.86",87%
Bahrain,Branch_8,Wealth Management,"5,678.00","8,470,557.03","588,189.75","1,879,535.28","90,735.73",3.50,"231,837.88",408.84,5.68,853.81,1.37,4.81,"2,558,460.76","6,143,934.15",73%
Saudi Arabia,Branch_6,Wealth Management,"8,422.00","8,010,913.24","301,652.26","105,810.69","177,731.44",2.68,"199,263.41",455.75,4.29,613.16,5.25,1.14,"585,194.39","7,624,982.26",95%
Saudi Arabia,Branch_6,SME Loan,"1,785.00","5,133,942.45","153,389.43","1,236,746.99","168,186.16",3.33,"376,252.36",568.19,1.57,"1,095.81",4.91,0.84,"1,558,322.58","3,951,872.23",77%
Oman,Branch_4,Auto Loan,869.00,"2,405,728.20","830,375.55","1,392,907.30","375,889.39",2.03,"251,186.59",672.81,7.90,571.21,5.63,4.27,"2,599,172.24","57,742.55",2%
Qatar,Branch_1,SME Loan,"7,049.00","8,468,766.76","837,337.59","232,543.68","42,017.24",2.09,"175,500.85",449.57,6.14,798.03,4.70,0.65,"1,111,898.51","7,532,369.10",89%
Bahrain,Branch_6,SME Loan,"2,533.00","7,298,911.82","815,435.43","115,063.49","430,923.11",5.10,"353,468.53",743.37,9.38,"1,314.58",5.39,3.60,"1,361,422.03","6,290,958.32",86%
Bahrain,Branch_9,Auto Loan,"5,411.00","9,809,535.63","646,857.28","1,574,126.07","409,034.92",4.92,"237,315.68",745.83,4.89,316.40,1.05,4.69,"2,630,018.27","7,416,833.04",76%
Qatar,Branch_8,Home Loan,"5,151.00","1,641,356.72","369,185.31","781,647.84","384,165.86",1.97,"129,055.39",450.63,4.61,886.88,5.89,2.33,"1,534,999.01","235,413.10",14%
Bahrain,Branch_1,Home Loan,"6,520.00","2,334,079.37","307,549.93","232,082.78","158,139.32",4.51,"445,318.04",608.04,9.77,831.90,1.95,0.81,"697,772.03","2,081,625.38",89%
Qatar,Branch_7,Home Loan,"1,284.00","2,196,801.68","13,512.00","1,530,082.28","412,326.48",4.24,"57,410.88",491.91,2.27,692.03,5.32,1.48,"1,955,920.76","298,291.80",14%
Oman,Branch_9,SME Loan,"4,655.00","7,946,143.70","834,439.52","1,701,342.88","95,487.03",4.71,"10,025.77",404.88,3.27,976.79,5.65,4.77,"2,631,269.43","5,324,900.04",67%
Qatar,Branch_7,Auto Loan,"3,485.00","1,950,382.23","91,995.53","1,183,024.66","66,582.56",3.64,"72,811.61",743.30,5.39,220.31,1.01,2.59,"1,341,602.75","681,591.09",35%
Qatar,Branch_1,Home Loan,"6,496.00","759,932.32","632,601.22","339,248.88","27,253.39",2.71,"82,657.98",845.31,5.71,840.21,5.57,2.94,"999,103.49","-156,513.19",-21%
Kuwait,Branch_10,Credit Card,"8,766.00","9,985,751.99","506,554.57","50,140.49","469,958.63",4.49,"269,483.06",611.15,5.94,831.40,5.15,1.20,"1,026,653.69","9,228,581.36",92%
Saudi Arabia,Branch_3,SME Loan,"9,374.00","345,690.39","529,055.91","1,407,588.91","157,465.39",3.17,"312,807.88",802.67,2.91,870.95,5.61,4.63,"2,094,110.21","-1,435,611.94",-415%
Saudi Arabia,Branch_2,Personal Loan,"2,658.00","8,368,916.20","927,079.28","1,109,276.56","459,220.85",2.49,"224,856.96",653.19,9.34,476.17,1.88,2.83,"2,495,576.69","6,098,196.47",73%
